Sample	posterior	likelihood	prior	Tree.t:simulated_data_A.CFheight	Tree.t:simulated_data_A.CFlength	Tree.t:simulated_data_A.nConv	Tree.t:simulated_data_A.nUselessConvs	Tree.t:simulated_data_A.meanEdgeLength	Tree.t:simulated_data_A.meanDepartureHeight	Tree.t:simulated_data_A.locus.simulated_data_A.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomEndSite	popFinalSize.t:simulated_data_A	popGrowthRate.t:simulated_data_A
785000	-21229.574618733022	-20917.566259394007	-312.00835933901493	3.4435418760788252	17.75559967764662	15	0	0.5601747713218876	0.8236725386416468	365.5	305.14285714285717	2363.8333333333335	2728.3333333333335	2306.0	4999.0	526.0	341.8	2371.3333333333335	2896.3333333333335	0.0	4999.0	6.738425697005656	0.6376456179515221
786000	-21384.216909893992	-20923.598231845448	-460.6186780485432	3.690683011096566	19.165474117450493	23	0	0.45266951405133526	0.9327843101723993	245.66666666666666	134.42857142857142	2231.733333333333	2476.4	2091.0	1468.0	318.375	236.44444444444446	2471.125	2788.5	3923.0	2824.0	4.897038232176429	0.6044200589842621
787000	-21230.24077068989	-20926.913571447003	-303.3271992428845	3.6172964075066485	18.796339941024765	14	0	0.5326027498125303	1.0588609974538807	387.8333333333333	306.14285714285717	2704.6666666666665	3091.5	3140.0	2269.0	326.75	178.1818181818182	2746.625	3072.375	0.0	2144.0	5.452108544241957	0.6387297966611799
788000	-21250.22037911674	-20930.721520401006	-319.4988587157337	3.5148617394516855	18.618617245216132	15	0	0.567685381908371	0.8701053887097938	389.3333333333333	299.85714285714283	1630.3333333333333	2018.6666666666667	0.0	3378.0	469.8888888888889	250.92307692307693	1864.6666666666667	2333.5555555555557	3421.0	2293.0	5.452108544241957	0.47882111363349705
789000	-21227.17833253105	-20924.142421556928	-303.0359109741235	3.5527299455353982	18.62806701047718	14	0	0.584089819670146	0.6194574739057757	361.8	361.8	1564.8	1925.6	1756.0	807.0	469.8888888888889	234.91666666666666	2280.222222222222	2749.1111111111113	2352.0	619.0	4.34159592077819	0.39110458177870083
790000	-21385.432921920976	-20921.124107031228	-464.30881488974944	3.7604862386601847	18.842084690121656	24	0	0.44697197312826725	0.9995030435743696	515.5833333333334	181.8	2529.5833333333335	3044.1666666666665	473.0	4999.0	243.41666666666666	171.84615384615384	1683.8333333333333	1926.25	2352.0	619.0	4.565411017281535	0.5015877742044401
791000	-21299.09247872904	-20924.008437985598	-375.0840407434424	3.9648879699747117	19.974601804654842	18	0	0.5200570434539371	1.2663617844950232	283.375	143.0	2167.625	2450.0	1421.0	1276.0	342.5	196.6153846153846	2609.2	2950.7	4786.0	3670.0	4.301549439815957	0.39242294609108164
792000	-21268.754743057234	-20922.647168244042	-346.1075748131902	3.595326223966948	18.866097786530684	16	0	0.6340211577200171	0.788446212191368	404.3333333333333	179.44444444444446	1685.0	2088.3333333333335	3124.0	3367.0	377.0	208.21428571428572	2505.5	2881.5	1698.0	609.0	9.687123906006025	0.7154537814938765
793000	-21231.261497205433	-20924.780242923604	-306.4812542818298	3.592879330658623	19.024481563375325	14	1	0.5541336974054034	1.0198354145266475	398.3333333333333	354.5	2955.0	3352.3333333333335	1754.0	2291.0	405.875	243.1818181818182	2321.375	2726.25	3372.0	4373.0	5.311723084165571	0.5248266281776958
794000	-21233.702611154622	-20923.27493092158	-310.42768023304313	3.5927109529037766	18.711264361321586	14	0	1.045969871500086	0.7519969698773395	375.4	375.4	2787.0	3161.4	1754.0	3367.0	359.0	248.9090909090909	2221.0	2579.0	1897.0	606.0	4.1933510565080665	0.051659383940770714
795000	-21242.194504641826	-20929.362589942168	-312.83191469965857	3.6872394184849786	19.01734751123382	14	0	0.8272897704032058	0.4707731756408138	308.75	308.75	2123.75	2431.5	3182.0	3176.0	250.5	130.35714285714286	1922.0	2171.5	148.0	1608.0	7.1693708609353095	0.01913087583102675
796000	-21333.90117038437	-20930.187407262652	-403.71376312171896	3.585364009602316	18.643862412323344	19	0	0.8955756285781526	0.5885405558805319	260.625	172.1	1646.625	1906.25	2556.0	2276.0	416.6363636363636	143.5	2968.0	3383.6363636363635	3361.0	4172.0	5.836290081319969	0.19247127302641262
797000	-21326.255394427037	-20928.993895415937	-397.26149901110017	3.544307405925922	19.502331351177663	19	0	1.1459547781973263	0.8508592812279051	187.66666666666666	167.6	2288.8888888888887	2475.5555555555557	471.0	2276.0	363.3	169.33333333333334	3028.0	3390.3	4665.0	3646.0	6.77565413731798	0.2807612546370083
798000	-21332.113015366776	-20926.507452125916	-405.60556324086053	3.8508085912120826	19.39909071552774	20	0	0.8706853896109799	0.9272134852858294	367.375	264.8	2348.25	2714.625	0.0	4284.0	279.75	185.93333333333334	2427.8333333333335	2706.5833333333335	2403.0	2585.0	4.8539663285379255	0.2226296152670989
799000	-21238.480453946027	-20925.837903655083	-312.64255029094426	3.7845401020845206	19.08347032849664	14	0	0.867099029002836	0.7654366017224691	530.2	318.57142857142856	1853.0	2382.2	1753.0	866.0	386.0	187.41666666666666	2566.4444444444443	2951.4444444444443	1372.0	4999.0	5.232427612439441	0.29718012620017237
800000	-21246.862850326725	-20925.714114913288	-321.1487354134384	3.9024713341205466	19.237767786337365	15	0	0.8473352067934695	0.9579470868968691	436.42857142857144	242.6	1623.0	2058.4285714285716	1753.0	866.0	291.5	178.7	2091.875	2382.375	4933.0	1150.0	4.776858350201429	0.12938056948300689
801000	-21278.086589590024	-20921.70171977795	-356.38486981207524	3.887766865621394	19.85936497860476	17	0	0.8718388925801722	0.9693144551076005	545.125	400.55555555555554	2135.5	2679.625	4453.0	3133.0	283.44444444444446	182.36363636363637	2090.1111111111113	2372.5555555555557	3365.0	4999.0	5.551345769819898	0.16529023659508726
802000	-21270.980330662707	-20921.94858514295	-349.03174551975815	3.6710766140391464	18.68349260056806	18	0	0.3376211713670277	1.009708426885454	602.8571428571429	362.44444444444446	2304.285714285714	2906.1428571428573	4551.0	2264.0	343.45454545454544	159.35714285714286	2100.0	2442.4545454545455	4855.0	1015.0	4.607801706004567	0.48834591578687936
803000	-21337.766799408906	-20919.169618999353	-418.59718040955187	3.7401477795007905	19.619918746635236	21	0	0.47754599194673986	0.8875013709380107	448.0	335.6	1520.375	1967.375	3191.0	3415.0	242.07692307692307	138.6875	1597.6153846153845	1838.6923076923076	1255.0	1515.0	6.971354106656647	0.7314729838662559
