Sample	posterior	likelihood	prior	Tree.t:UUNS01000001.CFheight	Tree.t:UUNS01000001.CFlength	Tree.t:UUNS01000001.nConv	Tree.t:UUNS01000001.nUselessConvs	Tree.t:UUNS01000001.meanEdgeLength	Tree.t:UUNS01000001.meanDepartureHeight	Tree.t:UUNS01000001.locus.UUNS01000001.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000001.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000001.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000001.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000001.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000001.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000002.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000002.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000002.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000002.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000002.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000002.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000012.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000012.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000012.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000012.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000012.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000012.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000014.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000014.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000014.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000014.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000014.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000014.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000015.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000015.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000015.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000015.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000015.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000015.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000017.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000017.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000017.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000017.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000017.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000017.randomEndSite	popFinalSize.t:UUNS01000001	popGrowthRate.t:UUNS01000001
1631000	-2541.608625678266	-2478.2195683051646	-63.389057373101465	1.726355846473475	4.020996116885184	2	0	241.41956131419772	0.43574733893914047	941.0	941.0	0.0	940.0	0.0	940.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	259.10926355306475	0.006503453223550182
1632000	-2550.8118891676504	-2481.0698226065215	-69.74206656112888	1.0712829475023984	2.787827951700633	3	0	92.39931061221147	0.5359854501840396	935.0	935.0	0.0	934.0	0.0	934.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	70.0	70.0	0.0	69.0	0.0	69.0	241.06657570930915	0.009151980799557296
1633000	-2542.7061364414044	-2480.384761486488	-62.321374954916536	1.52864170507116	3.602343420839091	2	0	101.90257607879278	0.4990406000710668	922.0	922.0	0.0	921.0	0.0	921.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	311.5138799010177	0.011826458525693051
1634000	-2555.877535321167	-2481.6201757348385	-74.25735958632869	2.0006410594354302	4.803417360827982	3	0	217.3187213064841	1.1780246225477284	914.0	914.0	0.0	913.0	0.0	913.0	49.0	49.0	0.0	48.0	0.0	48.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	386.54598917035554	0.004367899790261737
1635000	-2595.407438106874	-2477.222379767014	-118.18505833986016	2.962364066025002	6.65631659371404	5	0	203.17280043196166	1.2142340290635611	381.6666666666667	250.75	558.3333333333334	939.0	589.0	730.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	14.0	14.0	0.0	13.0	0.0	13.0	386.54598917035554	0.004924689611403771
1636000	-2611.6374761451216	-2486.5599300527942	-125.07754609232734	6.908263993955243	14.861369400082587	6	0	112.22067003797785	2.4602123422091795	523.5	303.6666666666667	161.5	684.0	0.0	458.0	49.0	49.0	0.0	48.0	0.0	48.0	28.0	28.0	255.0	282.0	255.0	282.0	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	167.58333680389933	0.004924689611403771
1637000	-2555.1183995825036	-2475.6826711439808	-79.43572843852274	3.5900458160262314	7.568735182342385	3	0	215.8175595580741	1.5329694139064827	528.0	528.0	529.0	1056.0	1058.0	1177.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	167.58333680389933	0.0016586484268168126
1638000	-2554.3305734414985	-2475.204574607997	-79.12599883350147	2.869210547621414	6.103486341390754	3	0	225.0514354156642	1.119889783127644	487.5	487.5	571.0	1057.5	1142.0	938.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	198.19789413709955	0.002872011396432246
1639000	-2569.832726920307	-2480.408570045231	-89.42415687507577	2.7451960431186433	6.288199007833086	4	0	111.3668566601664	0.9557664454535425	939.0	939.0	0.0	938.0	0.0	938.0	NaN	NaN	NaN	NaN	NaN	NaN	134.0	86.0	0.0	133.0	0.0	171.0	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	94.1321112610642	0.001726821647366431
1640000	-2545.8427608449765	-2483.3809526859227	-62.461808159054016	2.6539784124427963	5.717307701806655	2	0	148.4030406991231	1.6655461744311677	942.0	942.0	0.0	941.0	0.0	941.0	49.0	49.0	0.0	48.0	0.0	48.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	225.18610873150158	0.004258351903043345
1641000	-2567.033050005668	-2480.131504282226	-86.90154572344197	2.568109092723005	5.369924239463289	5	1	68.89521418445236	1.2968079654972418	469.5	468.5	0.0	468.5	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.0	9.0	0.0	8.0	0.0	8.0	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	41.661367374217406	0.00391160192299046
1642000	-2560.8724331324092	-2480.2543785285584	-80.61805460385064	0.9409861802664962	2.4613094113207246	4	0	55.01531497386896	0.2949658299166296	537.0	537.0	521.0	1057.0	0.0	937.0	NaN	NaN	NaN	NaN	NaN	NaN	44.0	44.0	0.0	43.0	0.0	43.0	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	41.661367374217406	0.0018060548541963524
1643000	-2562.4004730530582	-2476.673647917062	-85.72682513599612	0.9632698381203313	2.508394186687669	4	0	100.18554702561006	0.22715055634777642	478.5	478.5	578.0	1055.5	1156.0	934.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	59.0	59.0	11.0	69.0	11.0	69.0	68.70885146298215	0.0017963209372103461
1644000	-2539.2303376951363	-2478.558164727128	-60.67217296800863	2.299025449772183	4.994357447695542	2	0	154.73464036076317	0.4113065144292156	936.0	936.0	0.0	935.0	0.0	935.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	131.0271634347687	0.0011950840288775428
1645000	-2593.286127699682	-2482.953118149698	-110.33300954998379	1.6528464834960954	3.7569390478116786	5	1	86.21368922308793	0.8852403792874102	433.3333333333333	471.0	12.666666666666666	445.0	0.0	941.0	12.0	12.0	0.0	11.0	0.0	11.0	NaN	NaN	NaN	NaN	NaN	NaN	9.0	9.0	0.0	8.0	0.0	8.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.94528701366372	0.012572425944694305
1646000	-2583.164422104411	-2483.761254644427	-99.40316745998405	2.529932091400351	5.525353657620964	5	2	65.12647145199062	1.358189834686007	486.0	938.0	158.0	643.0	316.0	349.0	49.0	49.0	0.0	48.0	0.0	48.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.5	16.0	7.5	15.0	15.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	90.9548026064306	0.011916733621411952
1647000	-2552.2310545463392	-2481.391539628152	-70.8395149181876	1.3643876540722781	3.4789550289078037	3	0	89.03339989500871	1.270697332366299	491.0	491.0	570.0	1060.0	1140.0	1177.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	73.19027727959929	0.014581895707942522
1648000	-2549.4724914213234	-2478.5508244853736	-70.92166693594987	1.6069313314796385	3.846475953954161	3	0	105.35503042989586	1.0918006556788484	492.5	492.5	568.5	1060.0	1137.0	943.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	73.19027727959929	0.007399267551120354
1649000	-2552.899703541458	-2481.014397505876	-71.88530603558218	1.791353181891439	4.28336593689516	3	0	112.73309850210335	0.5630266823544995	876.0	876.0	0.0	875.0	0.0	875.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	5.0	5.0	65.0	69.0	65.0	69.0	73.19027727959929	0.0015247546125175977
